Fundo,CNPJ,Cota/Classe,Tipo,Data deliberação,Data emissão / 1ª integralização,Data encerramento/oferta,Quantidade,Volume,VNU,Remuneração,Juros/remuneração,Amortização principal,Status/evidência,Fonte,Status curadoria
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,12ª Série,,11/09/2024 17:00,Não identificada na extração offline,,,,,"or: 1,80% a.a. (um inteiro e oitenta centésimos por cento ao ano). Esta folha é parte do Instrumento Particular de Retificação e Ratificação da Ata da Assembleia Geral Extraordinária de Cotistas do Crédito Universitário II Fundo de Investimento em Direitos Creditórios realizada no dia 27 de agosto de 2024. Meta de Remuneração: Taxa DI, acrescida de Sobretaxa Sênior, da seguinte forma: As Cotas Seniores da 12ª Série…","or: 1,80% a.a. (um inteiro e oitenta centésimos por cento ao ano). Esta folha é parte do Instrumento Particular de Retificação e Ratificação da Ata da Assembleia Geral Extraordinária de Cotistas do Crédito Universitário II Fundo de Investimento em Direitos Creditórios realizada no dia 27 de agosto de 2024. Meta de Remuneração: Taxa DI, acrescida de Sobretaxa Sênior, da seguinte forma: As Cotas Seniores da 12ª Série…","das Cotas Seniores, nos termos do item Error! Reference source not found. do Regulamento. A Meta de Remuneração será determinada através da apropriação diária, sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis, da Taxa DI, acrescida de Sobretaxa Sênior. Meta de Amortização de Principal: Com relação a cada Data de Pagamento: (i) durante o Período de Carência: 0% d…",evento de cota,736637_assembleia_assembleia_736637_2024-09-11.pdf · ID 736637 · 11/09/2024 17:00,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,12ª SÉRIE,,16/09/2024,Não identificada na extração offline,,,"R$ 158.000.000,00",,,,,emissão,740542_emissao_emissao_740542_2024-09-16.pdf · ID 740542 · 16/09/2024,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,12ª SÉRIE,,06/03/2025,Não identificada na extração offline,,,"R$1 .000,00",,,,,emissão,852913_emissao_emissao_852913_2025-03-06.pdf · ID 852913 · 06/03/2025,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,13ª Série,,06/08/2025 09:00,Não identificada na extração offline,,,,,"e Investimento em Direitos Creditórios – Responsabilidade Limitada., realizada no dia 06 de agosto de 2025. Data de Resgate: 72 (setenta e dois) meses a contar da 1ª Data de Integralização de Cotas Seniores da 13ª Série. Sobretaxa Sênior: 1,70% a.a. (um inteiro e setenta centésimos por cento ao ano). Meta de Remuneração: Taxa DI, acrescida de Sobretaxa Sênior, da seguinte forma: As Cotas Seniores da 13ª Série serão…","e Investimento em Direitos Creditórios – Responsabilidade Limitada., realizada no dia 06 de agosto de 2025. Data de Resgate: 72 (setenta e dois) meses a contar da 1ª Data de Integralização de Cotas Seniores da 13ª Série. Sobretaxa Sênior: 1,70% a.a. (um inteiro e setenta centésimos por cento ao ano). Meta de Remuneração: Taxa DI, acrescida de Sobretaxa Sênior, da seguinte forma: As Cotas Seniores da 13ª Série serão…","ta de resgate das Cotas Seniores, nos termos do item 7 do anexo descritivo do Regulamento. A Meta de Remuneração será determinada através da apropriação diária, sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis, da Taxa DI, acrescida de Sobretaxa Sênior. Meta de Amortização de Principal: Com relação a cada Data de Pagamento: (i) durante o Período de Carência : 0%…",evento de cota,964756_assembleia_assembleia_964756_2025-08-06.pdf · ID 964756 · 06/08/2025 09:00,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,13ª SÉRIE,,13/08/2025,Não identificada na extração offline,,,"R$ 75.000.000,00",,,,,emissão,969670_emissao_emissao_969670_2025-08-13.pdf · ID 969670 · 13/08/2025,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,13ª SÉRIE,,18/08/2025,Não identificada na extração offline,,,"R$1 .000,00",,,,,emissão,974567_emissao_emissao_974567_2025-08-18.pdf · ID 974567 · 18/08/2025,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,COTAS SENIORES E/OU COTAS MEZAN INO MEDIANTE A ENTRE GA DE DIREI,Sênior,16/12/2021,Não identificada na extração offline,,,,,"observância da Política de Investimento descrita no Capítulo Quatro deste Regulamento, conforme o disposto no Capítulo Dezoito deste Regulamento. Amortização Programada é a amortiz ação das Cotas Seniores e das Cotas Mezanino realizada nas respectivas Datas de Amortização Programada, juntamente com o pagamento da Remuneração correspondente, conforme cronograma definido nos respectivos Suplementos e na forma deste Re…","observância da Política de Investimento descrita no Capítulo Quatro deste Regulamento, conforme o disposto no Capítulo Dezoito deste Regulamento. Amortização Programada é a amortiz ação das Cotas Seniores e das Cotas Mezanino realizada nas respectivas Datas de Amortização Programada, juntamente com o pagamento da Remuneração correspondente, conforme cronograma definido nos respectivos Suplementos e na forma deste Re…","......... ............................. 65 CAPÍTULO QUATORZE – CARACTERÍSTICAS, DIR EITOS, CONDIÇÕES DE EMISSÃO, SUBSCRIÇÃO E INTEGRALIZAÇÃO DAS COTAS ................................ ...... 67 CAPÍTULO QUINZE – ASSEMBLEIA GERAL ................................ ................................ . 73 CAPÍTULO DEZESSEIS – AMORTIZAÇÃO E DO RESGATE DAS COTAS ................... 78 CAPÍTULO DEZESSETE – HIPÓTESES E PROCEDI…",evento de cota,248338_regulamento_regulamento_248338_2021-12-16.pdf · ID 248338 · 16/12/2021,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,2ª Série,,29/09/2022 18:00,Não identificada na extração offline,,,"R$1.000,00",,"gralização das 2ª Série de Cotas Seniores; e) Data de Resgate de Cotas Seniores (i.e. , a data na qual ocorrerá a amortização do valor total remanescente das Cotas Seniores): 16 de setembro de 2025; f) Benchmark Alvo: CDI + 2,10% (dois inteiros e dez centésimos por cento) a.a.; g) Data de Pagamento de Principal e Remuneração: o pagamento do valor correspondente ao principal das Cotas Seniores (ou seja, o Valor Nomin…","gralização das 2ª Série de Cotas Seniores; e) Data de Resgate de Cotas Seniores (i.e. , a data na qual ocorrerá a amortização do valor total remanescente das Cotas Seniores): 16 de setembro de 2025; f) Benchmark Alvo: CDI + 2,10% (dois inteiros e dez centésimos por cento) a.a.; g) Data de Pagamento de Principal e Remuneração: o pagamento do valor correspondente ao principal das Cotas Seniores (ou seja, o Valor Nomin…",": R$100.000.000,00 (cem milhões de reais); b) Quantidade de Cotas Seniores da 1ª Série: R$100.000 (cem mil) cotas; c) Valor Nominal Unitário: R$ 1.000,00 (mil reais); d) Data de Emissão: data da integralização das 2ª Série de Cotas Seniores; e) Data de Resgate de Cotas Seniores (i.e. , a data na qual ocorrerá a amortização do valor total remanescente das Cotas Seniores): 16 de setembro de 2025; f) Benchmark Alvo: CD…",evento de cota,360787_assembleia_assembleia_360787_2022-09-29.pdf · ID 360787 · 29/09/2022 18:00,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,2ª Série,,06/10/2022 12:00,Não identificada na extração offline,,,"R$1.000,00",,"as 2ª Série da 2ª Emissão de Cotas Seniores; e) Data de Resgate de Cotas Seniores (i.e. a data na qual ocorrerá a amortização do valor total remanescente das Cotas Seniores): 16 de setembro de 2025; f) Benchmark Alvo: CDI + 2,10% (dois inteiros e dez centésimos por cento) a.a.; g) Data de Pagamento de Principal e Remuneração: o pagamento do valor correspondente ao principal das Cotas Seniores (ou seja, o Valor Nomin…","as 2ª Série da 2ª Emissão de Cotas Seniores; e) Data de Resgate de Cotas Seniores (i.e. a data na qual ocorrerá a amortização do valor total remanescente das Cotas Seniores): 16 de setembro de 2025; f) Benchmark Alvo: CDI + 2,10% (dois inteiros e dez centésimos por cento) a.a.; g) Data de Pagamento de Principal e Remuneração: o pagamento do valor correspondente ao principal das Cotas Seniores (ou seja, o Valor Nomin…","lhões de reais); b) Quantidade de Cotas Seniores da 2ª Série da 2ª Emissão: R$100.000 (cem mil) cotas; c) Valor Nominal Unitário: R$ 1.000,00 (mil reais); d) Data de Emissão: data da integralização das 2ª Série da 2ª Emissão de Cotas Seniores; e) Data de Resgate de Cotas Seniores (i.e. a data na qual ocorrerá a amortização do valor total remanescente das Cotas Seniores): 16 de setembro de 2025; f) Benchmark Alvo: CD…",evento de cota,360788_assembleia_assembleia_360788_2022-10-06.pdf · ID 360788 · 06/10/2022 12:00,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,2ª Série,,14/10/2022 18:00,Não identificada na extração offline,,,"R$1.000,00",,"da 2ª Emissão de Cotas Seniores; e) Da ta de Resgate de Cotas Seniores (i.e. , a data na qual ocorrerá a amortização do valor total remanescente das Cotas Seniores): 16 de setembro de 2025; f) Benchmark Alvo: CDI + 1,85% (um inteiro e oitenta e cinco centésimos por cento) a.a.; g) Data de Pagamento de Principal e Remuneração: o pagamento do valor correspondente ao principal das Cotas Seniores (ou seja, o Valor Nomin…","da 2ª Emissão de Cotas Seniores; e) Da ta de Resgate de Cotas Seniores (i.e. , a data na qual ocorrerá a amortização do valor total remanescente das Cotas Seniores): 16 de setembro de 2025; f) Benchmark Alvo: CDI + 1,85% (um inteiro e oitenta e cinco centésimos por cento) a.a.; g) Data de Pagamento de Principal e Remuneração: o pagamento do valor correspondente ao principal das Cotas Seniores (ou seja, o Valor Nomin…","es de reais); b) Quantidade de Cotas Seniores da 2ª Série da 2ª Emissão: R$100.000 (cem mil) cotas; c) Valor Nominal Unitário: R$ 1.000,00 (mil reais); d) Data de Emissão: data da integralização das 2ª Série da 2ª Emissão de Cotas Seniores; e) Da ta de Resgate de Cotas Seniores (i.e. , a data na qual ocorrerá a amortização do valor total remanescente das Cotas Seniores): 16 de setembro de 2025; f) Benchmark Alvo: CD…",evento de cota,365167_assembleia_assembleia_365167_2022-10-14.pdf · ID 365167 · 14/10/2022 18:00,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,COTAS SENIORES E/OU COTAS MEZANINO MEDIA NTE A ENTREGA DE DIR EI,Sênior,27/06/2023,Não identificada na extração offline,,,,,"observância da Política de Investimento descrita no Capítulo Quatro deste Regulamento, conforme o disposto no Capítulo Dezoito deste Regulamento. Amortização Programada é a amortização das Cotas Seniores e das Cot as Mezanino realizada nas respectivas Datas de Amortização Programada, juntamente com o pagamento da Remuneração correspondente, conforme cronograma definido nos respectivos Suplementos e na forma deste Re…","observância da Política de Investimento descrita no Capítulo Quatro deste Regulamento, conforme o disposto no Capítulo Dezoito deste Regulamento. Amortização Programada é a amortização das Cotas Seniores e das Cot as Mezanino realizada nas respectivas Datas de Amortização Programada, juntamente com o pagamento da Remuneração correspondente, conforme cronograma definido nos respectivos Suplementos e na forma deste Re…","......... ............................. 64 CAPÍTULO QUATORZE – CARACTERÍSTICAS, DIR EITOS, CONDIÇÕES DE EMISSÃO, SUBSCRIÇÃO E INTEGRALIZAÇÃO DAS COTAS ................................ ...... 65 CAPÍTULO QUINZE – ASSEMBLEIA GERAL ................................ ................................ . 72 CAPÍTULO DEZESSEIS – AMORTIZAÇÃO E DO RESGATE DAS COTAS ................... 76 CAPÍTULO DEZESSETE – HIPÓTESES E PROCEDI…",evento de cota,483973_regulamento_regulamento_483973_2023-06-27.pdf · ID 483973 · 27/06/2023,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,COTAS SENIORES E/OU COTAS MEZANINO MEDIANTE A ENTREGA DE DIREITO,Sênior,17/05/2024,Não identificada na extração offline,,,,,"à observância da Política de Investimento descrita no Capítulo Quatro deste Regulamento, conforme o disposto no Capítulo Dezoito deste Regulamento. Amortização Programada é a amortização das Cotas Seniores e das Cotas Mezanino realizada nas respectivas Datas de Amortização Programada, juntamente com o pagamento da Remuneração correspondente, conforme cronograma definido nos respectivos Suplementos e na forma deste R…","à observância da Política de Investimento descrita no Capítulo Quatro deste Regulamento, conforme o disposto no Capítulo Dezoito deste Regulamento. Amortização Programada é a amortização das Cotas Seniores e das Cotas Mezanino realizada nas respectivas Datas de Amortização Programada, juntamente com o pagamento da Remuneração correspondente, conforme cronograma definido nos respectivos Suplementos e na forma deste R…","........ .................. 64 CAPÍTULO QUATORZE – CARACTERÍSTICAS, DIREITOS, CONDIÇÕES DE EMISSÃO, SUBSCRIÇÃO E INTEGRALIZAÇÃO DAS COTAS ............................................ 65 CAPÍTULO QUINZE – ASSEMBLEIA GERAL ........................................................................... 71 CAPÍTULO DEZESSEIS – AMORTIZAÇÃO E DO RESGATE DAS COTAS ...................... 76 CAPÍTULO DEZESSETE – HIPÓTESES E PROC…",evento de cota,997116_regulamento_regulamento_997116_2024-05-17.pdf · ID 997116 · 17/05/2024,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,Cotas Subordinadas do F undo e que as mesmas serão objeto de registr,Subordinada,17/05/2024 15:00,Não identificada na extração offline,,,"R$1,00",,,,".000 (cento e oitenta milhões) de Cotas Subordinadas do Fundo, com valor nominal unitário de R$1,00 (um real) para cada Cota Subordinada na data de emissão, totalizando o montante de R$180.000.000,00 (cento e oitenta milhões de reais) na data de emissão, as quais foram objeto de colocação privada, devendo ser objeto de resgate quando do fim do Prazo de Duração do Fund o (i.e. 26 de setembro de 2037) ; e (b) as Cotas…",evento de cota,995714_assembleia_assembleia_995714_2024-05-17.pdf · ID 995714 · 17/05/2024 15:00,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,3ª Série,,25/10/2024 10:00,Não identificada na extração offline,,,"R$ 1.000,00",,"m http://www.cetip.com.br ou em qualquer outro site ou publicação que o substitua, expressa em porcentagem e calculada diariamente sob capitalização composta e considerando um ano de 2 52 (duzentos e cinquenta e dois) Dias Úteis +0,75% ( setenta e cinco centésimos por cento) a.a.; (g) Data de Pagamento de Principal e Remuneração : o pagamento do valor correspondente ao principal das Cotas Seniores (ou seja, o Valor…","m http://www.cetip.com.br ou em qualquer outro site ou publicação que o substitua, expressa em porcentagem e calculada diariamente sob capitalização composta e considerando um ano de 2 52 (duzentos e cinquenta e dois) Dias Úteis +0,75% ( setenta e cinco centésimos por cento) a.a.; (g) Data de Pagamento de Principal e Remuneração : o pagamento do valor correspondente ao principal das Cotas Seniores (ou seja, o Valor…","(um bilhão de reais); (b) Quantidade de Cotas Seniores da 3ª Série: 1.000.000 (um milhão) de cotas; (c) Valor Nominal Unitário: R$ 1.000,00 (mil reais) cada; (d) Data de Emissão: data da primeira integralização da 3ª Série de Cotas Seniores; (e) Data de Resgate de Cotas Seniores (i.e., a data na qual ocorrerá a amortização do valor total remanescente das Cotas Seniores): 25 de outubro de 2026; (f) Benchmark Alvo: é…",evento de cota,768270_assembleia_assembleia_768270_2024-10-25.pdf · ID 768270 · 25/10/2024 10:00,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,Cotas Seniores,Sênior,25/10/2024,Não identificada na extração offline,,,,,"m múltiplas séries e as Cotas Subordinadas poderão ser emitidas em múltiplas Subclasses, observado o disposto nos Anexos e seus respectivos Suplementos. Docusign Envelope ID: 51F5E7D4-A4D0-418E-919E-F934172F39AC 3.2.8. As características e os direitos, assim como as condições de emissão, subscrição, integralização, remuneração, amortização e resgate das Cotas seguem descritos nos s eus respectivos Suplementos (confo…","m múltiplas séries e as Cotas Subordinadas poderão ser emitidas em múltiplas Subclasses, observado o disposto nos Anexos e seus respectivos Suplementos. Docusign Envelope ID: 51F5E7D4-A4D0-418E-919E-F934172F39AC 3.2.8. As características e os direitos, assim como as condições de emissão, subscrição, integralização, remuneração, amortização e resgate das Cotas seguem descritos nos s eus respectivos Suplementos (confo…","éries e as Cotas Subordinadas poderão ser emitidas em múltiplas Subclasses, observado o disposto nos Anexos e seus respectivos Suplementos. Docusign Envelope ID: 51F5E7D4-A4D0-418E-919E-F934172F39AC 3.2.8. As características e os direitos, assim como as condições de emissão, subscrição, integralização, remuneração, amortização e resgate das Cotas seguem descritos nos s eus respectivos Suplementos (conforme o caso).…",evento de cota,1131152_regulamento_regulamento_1131152_2024-10-25.pdf · ID 1131152 · 25/10/2024,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,3ª Série,,29/10/2024 10:00,Não identificada na extração offline,,,"R$ 1.000,00",,"em http://www.cetip.com.br ou em qualquer outro site ou publicação que o substitua, expressa em porcentagem e calculada diariamente sob capitalização composta e considerando um ano de 252 (duzentos e cinquenta e dois) Dias Úteis +0,75% (setenta e cinco centésimos por cento) a.a.; (g) Data de Pagamento de Principal e Remuneração : o pagamento do valor correspondente ao principal das Cotas Seniores (ou seja, o Valor N…","em http://www.cetip.com.br ou em qualquer outro site ou publicação que o substitua, expressa em porcentagem e calculada diariamente sob capitalização composta e considerando um ano de 252 (duzentos e cinquenta e dois) Dias Úteis +0,75% (setenta e cinco centésimos por cento) a.a.; (g) Data de Pagamento de Principal e Remuneração : o pagamento do valor correspondente ao principal das Cotas Seniores (ou seja, o Valor N…","das Cotas Seniores da 3ª (terceira) série da Classe Única, aprovado na Assembleia Geral de Cotistas realizada em 25 de outubro de 2024 , os quais passam a vigorar da seguinte forma, sendo o Suplemento consolidado na forma do Anexo II a esta Ata: “(e) Data de Resgate de Cotas Seniores (i.e., a data na qual ocorrerá a amortização do valor total remanescente das Cotas Seniores): 29 de outubro de 2026; (...) (h) Data de…",evento de cota,768358_assembleia_assembleia_768358_2024-10-29.pdf · ID 768358 · 29/10/2024 10:00,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,3ª SÉRIE,,05/11/2024,Não identificada na extração offline,,,"R$ 1.000.000.000,00",,,,,emissão,771338_emissao_emissao_771338_2024-11-05.pdf · ID 771338 · 05/11/2024,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,COTAS SENIORES DO,Sênior,23/09/2025,Não identificada na extração offline,,,,,,,"ie da Subclasse de Cotas Seniores do Fundo (“Termo de Encerramento”), conforme segue: (i) A 2ª (segunda) Série da Subclasse de Cotas Seniores do Fundo (“ 2ª Série Sênior ”), foi devidamente encerrada em 16 de setembro de 2025 (“Data de Encerramento”); (ii) O encerramento da 2ª Série Sênior observou integralmente os prazos, condições e procedimentos estabelecidos no Regulamento, na regulamentação da CVM aplicável e n…",evento de cota,998868_assembleia_assembleia_998868_2025-09-23.pdf · ID 998868 · 23/09/2025,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,4ª Série,,25/03/2026 09:00,Não identificada na extração offline,,,"R$ 1.000,00",,"p://www.cetip.com.br ou em qualquer outro site ou publicação que o substitua, expressa em porcentagem e calculada diariamente sob capitalização composta e considerando um ano de 252 (duzentos e cinquenta e dois) Dias Úteis + 0,75% a.a. (setenta e cinco centésimos por cento ao ano); (g) Data de Pagamento de Principal e Remuneração : o pagamento do valor correspondente ao principal das Cotas Seniores (ou seja, o Valor…","p://www.cetip.com.br ou em qualquer outro site ou publicação que o substitua, expressa em porcentagem e calculada diariamente sob capitalização composta e considerando um ano de 252 (duzentos e cinquenta e dois) Dias Úteis + 0,75% a.a. (setenta e cinco centésimos por cento ao ano); (g) Data de Pagamento de Principal e Remuneração : o pagamento do valor correspondente ao principal das Cotas Seniores (ou seja, o Valor…","00.000.000,00 (um bilhão de reais); (b) Quantidade de Cotas Seniores da 4ª Série: 1.000.000 (um milhão) de cotas; (c) Valor Nominal Unitário: R$ 1.000,00 (mil reais); (d) Data de Emissão: data da integralização da 4ª Série de Cotas Seniores; (e) Data de Resgate de Cotas Seniores (i.e., a data na qual ocorrerá a amortização do valor total remanescente das Cotas Seniores): 31 de março de 2029; (f) Benchmark Alvo : tax…",evento de cota,1147067_assembleia_assembleia_1147067_2026-03-25.pdf · ID 1147067 · 25/03/2026 09:00,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,Cotas Seniores,Sênior,25/03/2026,Não identificada na extração offline,,,,,"nadas. As Cotas Seniores e as Cotas Mezanino poderão ser emitidas em múltiplas séries e as Cotas Subordinadas poderão ser emitidas em múltiplas Subclasses, observado o disposto nos Anexos e seus respectivos Suplementos. 3.2.8. As características e os direitos, assim como as condições de emissão, subscrição, integralização, remuneração, amortização e resgate das Cotas seguem descritos nos seus respectivos Suplementos…","nadas. As Cotas Seniores e as Cotas Mezanino poderão ser emitidas em múltiplas séries e as Cotas Subordinadas poderão ser emitidas em múltiplas Subclasses, observado o disposto nos Anexos e seus respectivos Suplementos. 3.2.8. As características e os direitos, assim como as condições de emissão, subscrição, integralização, remuneração, amortização e resgate das Cotas seguem descritos nos seus respectivos Suplementos…","as Seniores e as Cotas Mezanino poderão ser emitidas em múltiplas séries e as Cotas Subordinadas poderão ser emitidas em múltiplas Subclasses, observado o disposto nos Anexos e seus respectivos Suplementos. 3.2.8. As características e os direitos, assim como as condições de emissão, subscrição, integralização, remuneração, amortização e resgate das Cotas seguem descritos nos seus respectivos Suplementos (conforme o…",evento de cota,1149521_regulamento_regulamento_1149521_2026-03-25.pdf · ID 1149521 · 25/03/2026,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,4ª SÉRIE,,30/03/2026,Não identificada na extração offline,,,"R$ 1.000.000.000,00",,,,,emissão,1148251_emissao_emissao_1148251_2026-03-30.pdf · ID 1148251 · 30/03/2026,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,28.472.333/0001-32,Cotas Seniores da 2ª (segunda) Série,Sênior,06/11/2020 11:00,Não identificada na extração offline,,,"R$ 140.000.00,00",,,,"5º, da Instrução da CVM nº 356, de 17 de dezembro de 2001, conforme alterada, e item 18.2.4 do regulamento do Fundo (“Regulamento”). ORDEM DO DIA: Deliberar, nos termos do Capítulo 18 do Regulamento do Fundo, sobre a (i) alienação pelo Fundo de Direitos Creditórios Adquiridos , conforme definido no Regulamento; (ii) amortização integral e resgate das Cotas Seniores da 2ª (segunda) Série; (iii) exclusão dos conceitos…",evento de cota,135822_assembleia_assembleia_135822_2020-11-06.pdf · ID 135822 · 06/11/2020 11:00,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,28.472.333/0001-32,Cotas Seniores,Sênior,16/11/2020,Não identificada na extração offline,,,,,"_____ 2 SP - 23542534v1 ÍNDICE REGULAMENTO 4 CONDOMÍNIO E PRAZO DE DURAÇÃO 4 POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 4 CRITÉRIOS DE ELEGIBILIDADE, CONDIÇÕES DE CESSÃO E AQUISIÇÃO 7 FATORES DE RISCO 12 ADMINISTRADORA 21 OBRIGAÇÕES, VEDAÇÕES E RESPONSABILIDADES DA ADMINISTRADORA 21 REMUNERAÇÃO DA ADMINISTRADORA 24 SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA 25 GESTORA, CUSTODIANTE E AGENTE DE COBRANÇA 26 COTAS…","_____ 2 SP - 23542534v1 ÍNDICE REGULAMENTO 4 CONDOMÍNIO E PRAZO DE DURAÇÃO 4 POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 4 CRITÉRIOS DE ELEGIBILIDADE, CONDIÇÕES DE CESSÃO E AQUISIÇÃO 7 FATORES DE RISCO 12 ADMINISTRADORA 21 OBRIGAÇÕES, VEDAÇÕES E RESPONSABILIDADES DA ADMINISTRADORA 21 REMUNERAÇÃO DA ADMINISTRADORA 24 SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA 25 GESTORA, CUSTODIANTE E AGENTE DE COBRANÇA 26 COTAS…","ES DE CESSÃO E AQUISIÇÃO 7 FATORES DE RISCO 12 ADMINISTRADORA 21 OBRIGAÇÕES, VEDAÇÕES E RESPONSABILIDADES DA ADMINISTRADORA 21 REMUNERAÇÃO DA ADMINISTRADORA 24 SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA 25 GESTORA, CUSTODIANTE E AGENTE DE COBRANÇA 26 COTAS 34 SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS 37 AMORTIZAÇÃO E RESGATE DAS COTAS 41 ORDEM DE ALOCAÇÃO DOS RECURSOS 43 METODOLOGIA DE AVALIAÇÃO DOS ATIVOS DO FUND…",evento de cota,135821_regulamento_regulamento_135821_2020-11-16.pdf · ID 135821 · 16/11/2020,triagem estruturada por evidência documental offline; campos vazios indicam ausência na extração
