Fundo,CNPJ,Critério,Chave,Limite/regra,Monitorabilidade IME,Métrica IME / proxy,Condição de alerta sugerida,Observação técnica,Fonte,Status curadoria
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42.102.603/0001-44,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | ormativo II, observada a ordem de alocação de recursos prevista no Capítulo 15 deste Anexo. 2.5. É vedada a aquisição de Direitos Creditórios, direta ou indiretamente originados ou cedidos pela Administradora, pela Gestora ou partes a eles relacionadas. 2.6. A Classe A não realizará investimentos no exterior. 2.7. Realização de Operações com Derivativos. A Classe A não poderá realizar operações em mercados de deriva…",733239_regulamento_regulamento_733239_2024-09-05.pdf · ID 733239 · 05/09/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,44.124.617/0001-94,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | ormativo II, observada a ordem de alocação de recursos prevista no Capítulo 15 deste Anexo. 2.5. É vedada a aquisição de Direitos Creditórios, direta ou indiretamente originados ou cedidos pela Administradora, pela Gestora ou partes a eles relacionadas. 2.6. A Classe A não realizará investimentos no exterior. 2.7. Realização de Operações com Derivativos. A Classe A não poderá realizar operações em mercados de deriva…",851798_regulamento_regulamento_851798_2025-02-28.pdf · ID 851798 · 28/02/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,45.598.747/0001-21,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | e direitos creditórios. Artigo 13 É vedado ao FUNDO: I. realizar operações de compra e venda de um mesmo título, valor mobiliário ou contrato derivativo em um mesmo dia (operações day-trade); II. a aquisição de ações de emissão do ADMINISTRADOR, do GESTOR ou de empresas a eles ligadas; III. realizar operações de empréstimo de títulos públicos na posição em que o FUNDO figure como tomador; IV. manter posição de deriv…",298055_regulamento_regulamento_298055_2022-04-28.pdf · ID 298055 · 28/04/2022,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,45.598.747/0001-21,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | ento não estejam aptos a realizar pagamentos de resgate de suas cotas conforme previsto em seus respecti vos regulamentos, inclusive em decorrência de dificuldades para liquidar posições ou negociar tais ativos pelo preço e no tempo desejados, condições atípicas de mercado e/ou grande volume de solicitações de resgates. IV. RISCO DECORRENTE DE OPERAÇÕES NOS MERC ADOS DE DERIVATIVOS: a utilização de instrumentos de d…",298055_regulamento_regulamento_298055_2022-04-28.pdf · ID 298055 · 28/04/2022,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS II-RESPONSABILIDADE LIMITADA,50.988.212/0001-05,Reserva ou caixa mínimo,minimum_cash_ratio,15%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,Alerta se proxy IME ficar abaixo de 15%,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados. | Extração local heurística; validar manualmente antes de ativar alerta. | ato de Cobrança Bancária, e tal evento possa, a critério exclusivo da Administradora, afetar a boa ordem legal, administrativa e operacional do Programa de Securitização; h) renúncia da Administradora, com a não assunção de suas funções por uma nova instituição, nos termos deste Anexo Descritivo, ou sua não substituição, nos termos deste Anexo Descritivo; i) caso a Classe Única deixe de atender à Reserva de Caixa, à…",1013021_regulamento_regulamento_1013021_2024-11-14.pdf · ID 1013021 · 14/11/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ FGTS I - RESPONSABILIDADE LIMITADA,51.957.370/0001-52,Subordinação mínima,subordination_ratio_min,10%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 10%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | e São Paulo, devendo tais amortizações, resgates e aplicações serem efetivados no primeiro Dia Útil subsequente. Índices de Subordinação e Razão de Garantia 9.11. A Classe A deverá observar a Razão de Garantia de 10% (dez por cento). Isso significa que, no mínimo, 10% (dez por cento) do Patrimônio Líquido da Classe A deve ser representado pela soma do valor total das Cotas Subordinadas em circulação (“Índice de Subo…",1025473_regulamento_regulamento_1025473_2025-04-03.pdf · ID 1025473 · 03/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ FGTS I - RESPONSABILIDADE LIMITADA,51.957.370/0001-52,Subordinação mínima,subordination_ratio_min,5%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 5%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | atrimônio Líquido da Classe A deve ser representado pela soma do valor total das Cotas Subordinadas em circulação (“Índice de Subordinação”). 9.12. A Classe A deverá observar a Razão de Garantia Mezanino de 5% (cinco por cento). Isso significa que, no mínimo, 5% (cinco por cento) do Patrimônio Líquido do Fundo deve ser representado pela soma do valor total das Cotas Subordinadas Juniores em circulação (“ Índice de S…",1025473_regulamento_regulamento_1025473_2025-04-03.pdf · ID 1025473 · 03/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ FGTS I - RESPONSABILIDADE LIMITADA,51.957.370/0001-52,Alocação mínima em direitos creditórios,credit_rights_allocation_min,50%,monitoravel,Dir Cred / PL,Alerta se proxy IME ficar abaixo de 50%,"O Informe Mensal traz direitos creditórios e PL. | Extração local heurística; validar manualmente antes de ativar alerta. | ça”: O Cedente ou seu sucessor a qualquer título, que atuará (i) no auxílio à cobrança ordinários dos Direitos Creditórios cedidos; e (ii) na cobrança extraordinária dos Direitos Creditórios Inadimplidos; “Agente Operador do FGTS”: A Caixa Econômica Federal; “Alocação Mínima”: A alocação de, ao menos, 50% (cinquenta por cento) do Patrimônio Líquido em Direitos Creditórios, nos termos da Resolução CVM nº 175; “Alocaç…",1025473_regulamento_regulamento_1025473_2025-04-03.pdf · ID 1025473 · 03/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ FGTS I - RESPONSABILIDADE LIMITADA,51.957.370/0001-52,Reserva ou caixa mínimo,minimum_cash_ratio,1%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,Alerta se proxy IME ficar abaixo de 1%,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados. | Extração local heurística; validar manualmente antes de ativar alerta. | pela Administradora no último Dia Útil de cada mês (“Reserva de Caixa”). 12.1.1. Na hipótese de a Reserva de Caixa deixar de atender valor mínimo descrito acima, a 44/88 Corporativo | Interno Gestora deverá suspender a aquisição de novos Direitos Creditórios e destinar os recursos da Classe A, em moeda corrente nacional, para a recomposição da Reserva de Caixa. 12.2. A Classe A deverá constituir e manter uma reserva…",1025473_regulamento_regulamento_1025473_2025-04-03.pdf · ID 1025473 · 03/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ FGTS I - RESPONSABILIDADE LIMITADA,51.957.370/0001-52,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | Interno mercados de derivativos, exclusivamente com o objetivo de proteger posições detidas à vista, até o limite destas, nem tampouco gere exposição superior a 1 (uma) vez o P atrimônio Líquido ou que Cotistas a aportarem recursos adicionais para cobrir o prejuízo da Classe A, nos termos deste Anexo Descritivo A. 3.6.1. Para o efeito do disposto no acima, as operações contratadas pel a Classe A com instrumentos der…",1025473_regulamento_regulamento_1025473_2025-04-03.pdf · ID 1025473 · 03/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ FGTS I - RESPONSABILIDADE LIMITADA,51.957.370/0001-52,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | stinem à simples proteção de posições detidas à vista. 3.6.3. Para efeito de cálculo de Patrimônio Líquido d a Classe A no âmbito das operações realizadas com instrumentos derivativos, dev em ser considerados os dispêndios efetivamente incorridos a título de prestação de margens de garantia em espécie, ajustes diários, prêmios e custos operacionais, decorrentes da manutenção de posições em mercados organizados de de…",1025473_regulamento_regulamento_1025473_2025-04-03.pdf · ID 1025473 · 03/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.218.673/0001-41,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | arcial e o Direito de Recompra de Inadimplidos, previstos nos itens 13.7 e seguintes abaixo. 2.5. É vedada a aquisição de Direitos Creditórios, direta ou indiretamente originados ou cedidos pela Administradora, pelo Gestor ou partes a eles relacionadas. 2.6. A Classe A não realizará investimentos no exterior. 2.7. Realização de Operações com Derivativos. A Classe A não poderá realizar operações em mercados de deriva…",1072697_regulamento_regulamento_1072697_2025-12-23.pdf · ID 1072697 · 23/12/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.218.941/0001-25,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | arcial e o Direito de Recompra de Inadimplidos, previstos nos itens 13.7 e seguintes abaixo. 2.5. É vedada a aquisição de Direitos Creditórios, direta ou indiretamente originados ou cedidos pela Administradora, pelo Gestor ou partes a eles relacionadas. 2.6. A Classe A não realizará investimentos no exterior. 2.7. Realização de Operações com Derivativos. A Classe A não poderá realizar operações em mercados de deriva…",1072783_regulamento_regulamento_1072783_2025-12-22.pdf · ID 1072783 · 22/12/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.219.179/0001-00,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | arcial e o Direito de Recompra de Inadimplidos, previstos nos itens 13.7 e seguintes abaixo. 2.5. É vedada a aquisição de Direitos Creditórios, direta ou indiretamente originados ou cedidos pela Administradora, pelo Gestor ou partes a eles relacionadas. 2.6. A Classe A não realizará investimentos no exterior. 2.7. Realização de Operações com Derivativos. A Classe A não poderá realizar operações em mercados de deriva…",1072799_regulamento_regulamento_1072799_2025-12-22.pdf · ID 1072799 · 22/12/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.248.022/0001-02,Atraso/Inadimplência - evento de avaliação,default_rate_evaluation_event,5%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,Alerta se proxy IME ficar abaixo de 5%,"Os buckets de atraso do Informe Mensal permitem recompor NPL Over acumulado por faixa. | Extração local heurística; validar manualmente antes de ativar alerta. | início de suas atividades, da Alocação Mínima, não regularizado no prazo de até 5 (cinco) Dias Úteis; (xxi) inadimplemento d e qualquer Devedor no pagamento dos Direitos Creditórios Cedidos na Conta Centralizadora por 5 (cinco) Dias Úteis , ressalvado que o inadimplemento de Devedores que, em conjunto ou separadamente, representem até 5% ( cinco por cento) do Patrimônio Líquido da Classe A, não configurará este Even…",1072746_regulamento_regulamento_1072746_2025-12-22.pdf · ID 1072746 · 22/12/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.248.022/0001-02,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | arcial e o Direito de Recompra de Inadimplidos, previstos nos itens 13.7 e seguintes abaixo. 2.5. É vedada a aquisição de Direitos Creditórios, direta ou indiretamente originados ou cedidos pela Administradora, pelo Gestor ou partes a eles relacionadas. 2.6. A Classe A não realizará investimentos no exterior. 2.7. Realização de Operações com Derivativos. A Classe A não poderá realizar operações em mercados de deriva…",1072746_regulamento_regulamento_1072746_2025-12-22.pdf · ID 1072746 · 22/12/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
ESTRATÉGIA VINCULADA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,54.559.035/0001-94,Alocação mínima em direitos creditórios,credit_rights_allocation_min,50%,monitoravel,Dir Cred / PL,Alerta se proxy IME ficar abaixo de 50%,"O Informe Mensal traz direitos creditórios e PL. | Extração local heurística; validar manualmente antes de ativar alerta. | o Administrador e o Gestor, por meio do qual são reguladas as atribuições de cada um dos respectivos prestadores de serviços dentro do Fundo. “Administrador” Tem o seu significado atribuído no Regulamento; “Alocação Mínima de Investimento” Significa a alocação de, pelo menos, 50 % (cinquenta por cento) do Patrimônio Líquido em Direitos Creditórios Elegíveis, nos termos do artigo 44 do Anexo Normativo II. “Alocação M…",634437_regulamento_regulamento_634437_2024-04-05.pdf · ID 634437 · 05/04/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
ESTRATÉGIA VINCULADA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,54.559.035/0001-94,Alocação mínima em direitos creditórios,credit_rights_allocation_min,50%,monitoravel,Dir Cred / PL,Alerta se proxy IME ficar abaixo de 50%,"O Informe Mensal traz direitos creditórios e PL. | Extração local heurística; validar manualmente antes de ativar alerta. | vençascelebrado entre o Administrador e o Gestor, por meio do qual são reguladas as atribuições de cada um dos respectivos prestadores de serviços dentro do Fundo. Administrador Tem o seu significado atribuído no Regulamento; Alocação Mínima de Investimento Significa a alocação de, pelo menos, 50% (cinquenta por cento) do Patrimônio Líquido em Direitos Creditórios Elegíveis, nos termos do artigo 44 do Anexo Normativ…",634463_regulamento_regulamento_634463_2024-04-05.pdf · ID 634463 · 05/04/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
ANGÁ FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.810.968/0001-02,Subordinação mínima,subordination_ratio_min,5%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 5%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | deste Anexo Descritivo; “Índice de Subordinação Mezanino”: A relação equivalente a, no mínimo, 5% (cinco por cento) entre: (a) o valor das Cotas Subordinadas Júnior em circulação e (b) o Patrimônio Líquido da Classe A, nos termos do artigo 2º, inciso XV e do artigo 20, inciso II, ambos do Anexo Normativo II da Resolução CVM 175 , observado ainda o disposto no item 9.5 deste Anexo Descritivo; “Índices de Subordinação…",937760_regulamento_regulamento_937760_2025-04-22.pdf · ID 937760 · 22/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
ANGÁ FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.810.968/0001-02,Cobertura mínima de PDD/provisão,pdd_coverage_min,0%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,Alerta se proxy IME ficar abaixo de 0%,"O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento. | Extração local heurística; validar manualmente antes de ativar alerta. | ção a mercado da Administradora, disponível em sua página eletrônica: https://www.daycoval.com.br/investimentos/mercado-capitais/politicas-manuais- documentos. As provisões e as perdas com Direitos Creditórios da Classe A serão constituídas considerando a aplicação dos percentuais a seguir mencionados sobre o valor dos Direitos Creditórios, considerando a faixa de atraso aplicável: RATING OPERAÇÃO DIAS ATRASO % PDD…",937760_regulamento_regulamento_937760_2025-04-22.pdf · ID 937760 · 22/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
ANGÁ FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.810.968/0001-02,Reserva ou caixa mínimo,minimum_cash_ratio,"2,00%",parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,"Alerta se proxy IME ficar abaixo de 2,00%","O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados. | Extração local heurística; validar manualmente antes de ativar alerta. | ra à Administradora no último Dia Útil de cada mês (“ Reserva de Caixa”). 12.1.1. Na hipótese de a Reserva de Caixa deixar de atender valor mínimo descrito no item 12.1 acima, a Administradora deverá suspender a aquisição de novos Direitos Creditórios e destinar os recursos da Classe A, em moeda corrente 52/101 nacional, para a recomposição da Reserva de Caixa. 12.2. A Classe A deverá constituir e manter uma reserva…",937760_regulamento_regulamento_937760_2025-04-22.pdf · ID 937760 · 22/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
ANGÁ FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.810.968/0001-02,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | rá alocar recursos de seu Patrimônio Líquido em operações em mercados de derivativos, exclusivamente com o objetivo de proteger posições detidas à vista, até o limite destas, desde que a contraparte de tais operações não seja o Cedente, nem tampouco gere exposição superior a 1 (uma) vez o Patrimônio Líquido. 3.4.1. Para o efeito do disposto no item 3.4 acima, as operações contratadas pela Classe A com instrumentos d…",937760_regulamento_regulamento_937760_2025-04-22.pdf · ID 937760 · 22/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
ANGÁ FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.810.968/0001-02,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | A com instrumentos derivativos somente poderão ser realizadas (a) em mercado de balcão, tendo como contraparte, necessariamente, instituições autorizadas pela Gestora, sendo que tais operações deverão ser necessariamente registradas na B3, sob a modalidade “com garantia” e/ou (b) diretamente na B3, sob a modalidade “com garantia”. 3.4.2. É expressamente vedada a realização de operações com instrumentos 23/101 deriva…",937760_regulamento_regulamento_937760_2025-04-22.pdf · ID 937760 · 22/04/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
ESTRATÉGIA VINCULADA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,55.070.804/0001-59,Alocação mínima em direitos creditórios,credit_rights_allocation_min,50%,monitoravel,Dir Cred / PL,Alerta se proxy IME ficar abaixo de 50%,"O Informe Mensal traz direitos creditórios e PL. | Extração local heurística; validar manualmente antes de ativar alerta. | o Administrador e o Gestor, por meio do qual são reguladas as atribuições de cada um dos respectivos prestadores de serviços dentro do Fundo. “Administrador” Tem o seu significado atribuído no Regulamento; “Alocação Mínima de Investimento” Significa a alocação de, pelo menos, 50 % (cinquenta por cento) do Patrimônio Líquido em Direitos Creditórios Elegíveis, nos termos do artigo 44 do Anexo Normativo II. “Alocação M…",667195_regulamento_regulamento_667195_2024-05-22.pdf · ID 667195 · 22/05/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
QUATÁ FDC FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55.401.645/0001-28,Subordinação mínima,subordination_ratio_min,3%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 3%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | ônio Líquido representado por Cotas Seniores; “Índice de Subordinação Mezanino” A relação equivalente a, no mínimo, 3% (três por cento) entre: (a) o valor das Cotas Subordinadas Júnior em circulação e (b) o Patrimônio Líquido da Classe A, nos termos do artigo 2º, inciso XV e do artigo 20, inciso II, ambos do Anexo Normativo II da Resolução CVM 175. “Índices de Subordinação” Significam, em conjunto, o Índice de Subor…",1051890_regulamento_regulamento_1051890_2025-12-01.pdf · ID 1051890 · 01/12/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
QUATÁ FDC FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55.401.645/0001-28,Subordinação mínima,subordination_ratio_min,3%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 3%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | áximo, 85% (oitenta e cinco por cento) do seu Patrimônio Líquido representado por Cotas Seniores; “Índice de Subordinação Mezanino” A relação equivalente a, no mínimo, 3% (três por cento) entre: (a) o valor das Cotas Subordinadas Júnior em circulação e (b) o Patrimônio Líquido da Classe A, nos termos do artigo 2º, inciso XV e do artigo 20, inciso II, ambos do Anexo Normativo II da Resolução CVM 175. “Índices de Subo…",1051890_regulamento_regulamento_1051890_2025-12-01.pdf · ID 1051890 · 01/12/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
QUATÁ FDC FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55.401.645/0001-28,Alocação mínima em direitos creditórios,credit_rights_allocation_min,67%,monitoravel,Dir Cred / PL,Alerta se proxy IME ficar abaixo de 67%,"O Informe Mensal traz direitos creditórios e PL. | Extração local heurística; validar manualmente antes de ativar alerta. | qualquer título, agindo na qualidade de instituição responsável pela movimentação da Conta Vinculada; “Agente Operador do FGTS” A Caixa Econômica Federal; “Ágio Máximo Permitido” O ágio máximo permitido, conforme calculado por meio do Índice de Ágio, que não poderá ser superior a 12% (doze por cento); “Alocação Mínima” O percentual mínimo de 67% (sessenta e sete por cento) do Patrimônio Líquido a ser mantido em Dire…",1051890_regulamento_regulamento_1051890_2025-12-01.pdf · ID 1051890 · 01/12/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
QUATÁ FDC FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55.401.645/0001-28,Cobertura mínima de PDD/provisão,pdd_coverage_min,0%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,Alerta se proxy IME ficar abaixo de 0%,"O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento. | Extração local heurística; validar manualmente antes de ativar alerta. | o a seguinte metodologia de provisionamento: Perda Histórica (Spread de Cessão): Para o cálculo da perda histórica é realizada a divisão entre o valor inadimplido sobre o valor total da Carteira. Para a Classe A, considerando o produto de antecipação do Saque - Aniversário FGTS, a taxa de perda histórica é de 0% (zero por cento). Classificação De Risco Dos Direitos Creditórios Sem Coobrigação A constituição da provi…",1051890_regulamento_regulamento_1051890_2025-12-01.pdf · ID 1051890 · 01/12/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
QUATÁ FDC FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55.401.645/0001-28,Cobertura mínima de PDD/provisão,pdd_coverage_min,"0,00%",monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,"Alerta se proxy IME ficar abaixo de 0,00%","O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento. | Extração local heurística; validar manualmente antes de ativar alerta. | de falência / recuperação judicial, análise de dados históricos para créditos de mesmas características de risco, deterioração da classificação de risco do Devedor ou procedimentos de apuração e gestão de risco da Carteira com características semelhantes para o mesmo Devedor ou garantidor. Para mensurar a provisão sobre os Direitos Creditórios, a instituição aplica os percentuais informados na tabela abaixo. FAIXA P…",1051890_regulamento_regulamento_1051890_2025-12-01.pdf · ID 1051890 · 01/12/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
