Fundo,CNPJ,Data,Classe/Série,Evento,Volume,Remuneração,Amortização/Vencimento,Fonte
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,,,evento de cota,,"de 2023 2 Índice 1. FORMA DE CONSTITUIÇÃO, PRAZO DE DURAÇÃO E CLASSIFICAÇÃO DO FUNDO 3 2. POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 4 3. CRITÉRIOS DE ELEGIBILIDADE E CONDIÇÕES DE CESSÃO 7 4. FATORES DE RISCO 10 5. ADMINISTRADORA 22 6. OBRIGAÇÕES, VEDAÇÕES E RESPONSABILIDADES DA ADMINISTRADORA 23 7. REMUNERAÇÃO DA ADMINISTRADORA 25 8. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA 26 9. GESTORA, DISTRIBUIDOR, CUST…","RES DE RISCO 10 5. ADMINISTRADORA 22 6. OBRIGAÇÕES, VEDAÇÕES E RESPONSABILIDADES DA ADMINISTRADORA 23 7. REMUNERAÇÃO DA ADMINISTRADORA 25 8. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA 26 9. GESTORA, DISTRIBUIDOR, CUSTODIANTE E AGENTE DE COBRANÇA 28 10. COTAS 35 11. SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS 39 12. AMORTIZAÇÃO E RESGATE DAS COTAS 42 13. ORDEM DE ALOCAÇÃO DOS RECURSOS 47 14. METODOLOGIA DE AVALIAÇÃO…",519058_regulamento_regulamento_519058_2023-08-30.pdf
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,,Cotas Seniores referente à Segunda Série de Cotas Seniores do Fu,evento de cota,"R$ 1.000,00",,,519065_assembleia_assembleia_519065_2023-08-30.pdf
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,,,evento de cota,,,"Docusign Envelope ID: 634BE2A4-48EB-441D-9F98-716C2EC8D3C1 2 5.1. Os Cotistas deliberaram pela aprovação, sem quaisquer restrições ou ressalvas, da incorporação do Fundo Incorporado pelo Fundo Incorporador, com base no fechamento do expediente bancário do dia 13 de setembro de 2024, podendo ser implementada em prazo infe rior, observadas as restrições operacionais (“Data da Incorporação”). 5.1.1. O Fundo Incorporado…",731592_assembleia_assembleia_731592_2024-09-03.pdf
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,,Cotas Seniores da Segunda Série do Fundo,evento de cota,"R$ 1.000,00","oeda corrente nacional, pelo valor nominal unitário. Sendo, R$ 50.00 0.000,00 (cinquenta milhões de reais) integralizados no ato de subscrição e duas tranches de R$ 15.000.000,00 (quinze milhões de reais) cada, a serem integralizadas nas datas indicadas no Boletim de Subscrição assinado pelo investidor. III. Meta de Remuneração: a Meta de Remuneração será equivalente ao Benchmark abaixo determinado: Docusign Envelop…","ão positiva do CDI, acrescida de um spread de 4,5% a.a. (quatro inteiros e cinco décimos por cento) ao ano, sendo certo que os benchmarks previstos nos itens (i) e (ii) acima são alternativos e não serão, em hipótese nenhuma, buscados pelo Fundo ou aplicados sobre as Cotas Seniores de forma cumulativa. IV. Condições de Amortização e Resgate: Exceto caso caracterizado um Evento de Aceleração das Cotas Seniores, hipót…",749010_assembleia_assembleia_749010_2024-09-03.pdf
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,,,evento de cota,,"ESPONSABILIDADE DOS PRESTADORES DE SERVIÇO ................................................................... 32 6. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA E DA GESTORA ......................................... 33 7. CUSTODIANTE, AGENTE DE COBRANÇA E AGENTE DE RECEBIMENTO ....................................... 34 8. REMUNERAÇÃO DOS PRESTADORES DE SERVIÇOS ESSENCIAIS ..............................................…","............................... 38 9. COTAS ....................................................................................................................................................... 40 10. SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS .................................................................. 44 11. AMORTIZAÇÃO E RESGATE DAS COTAS .................................................................…",787126_regulamento_regulamento_787126_2024-11-21.pdf
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,,,evento de cota,,,,787141_assembleia_assembleia_787141_2024-11-21.pdf
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,,Cotas Seniores,evento de cota,"R$ 1.000,00","de capital a serem realizadas pelo Administrador, nos termos dos respectivos Compromissos de Investimento, Boletins de Subscrição e do Regulamento , conforme o caso. VI. Prazo de Distribuição: 180 (cento e oitenta) dias; Docusign Envelope ID: FF596E89-E6A4-48B1-86DB-2B76413BA247 2 Internal Use Only VII. Meta de Remuneração: a Meta de Remuneração Sênior será correspondente a 100% da Taxa DI acrescida de “spread” de 3…","va emissão, as quais serão objeto de colocação privada, sem intermediação de instituição financeira integrante do sistema brasileiro de distribuição de valores mobiliários, cujos termos e condições são descritos no Regulamento e no Apêndice constante do Anexo B à presente ata de assembleia; e (iii) ato subsequente, a amortização extraordinária da totalidade da 2ª (segunda) série de Cotas Seniores; de forma que, após…",914383_assembleia_assembleia_914383_2025-04-30.pdf
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,,,evento de cota,,"ASSIFICAÇÃO DO FUNDO 4 2. POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 5 3. FATORES DE RISCO 11 4. PRESTADORES DE SERVIÇOS ESSENCIAIS 25 5. RESPONSABILIDADE DOS PRESTADORES DE SERVIÇO 33 6. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA E DA GESTORA 34 7. CUSTODIANTE, AGENTE DE COBRANÇA E AGENTE DE RECEBIMENTO 35 8. REMUNERAÇÃO DOS PRESTADORES DE SERVIÇOS ESSENCIAIS 39 9. COTAS 41 10. RENTABILIDADE EXCEDENTE DO FUND…","DOS PRESTADORES DE SERVIÇO 33 6. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA E DA GESTORA 34 7. CUSTODIANTE, AGENTE DE COBRANÇA E AGENTE DE RECEBIMENTO 35 8. REMUNERAÇÃO DOS PRESTADORES DE SERVIÇOS ESSENCIAIS 39 9. COTAS 41 10. RENTABILIDADE EXCEDENTE DO FUNDO 46 11. SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS 47 12. AMORTIZAÇÃO E RESGATE DAS COTAS 50 13. ORDEM DE ALOCAÇÃO DOS RECURSOS 54 14. METODOLOGIA DE AVALIAÇÃO…",914386_regulamento_regulamento_914386_2025-04-30.pdf
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,,,evento de cota,,,"contrato de cessão; 2. até o 1º (primeiro) dia útil imediatamente anterior à Data de Transferência, o mapa de evolução de cotas do Fundo, desde seu início e o detalhamento de todas as provisões e diferimentos do Fundo; 3. até o 5º (quinto) dia útil imediatamente anterior à Data de Transferência, o histórico de aplicações, resgates e o saldo por Cotistas, e, até o 30º (trigésimo) dia corrido imediatamente subsequente…",1118465_assembleia_assembleia_1118465_2026-02-19.pdf
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,,,evento de cota,,"ASSIFICAÇÃO DO FUNDO 4 2. POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 5 3. FATORES DE RISCO 11 4. PRESTADORES DE SERVIÇOS ESSENCIAIS 25 5. RESPONSABILIDADE DOS PRESTADORES DE SERVIÇO 33 6. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA E DA GESTORA 34 7. CUSTODIANTE, AGENTE DE COBRANÇA E AGENTE DE RECEBIMENTO 35 8. REMUNERAÇÃO DOS PRESTADORES DE SERVIÇOS ESSENCIAIS 39 9. COTAS 41 10. RENTABILIDADE EXCEDENTE DO FUND…","DOS PRESTADORES DE SERVIÇO 33 6. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA E DA GESTORA 34 7. CUSTODIANTE, AGENTE DE COBRANÇA E AGENTE DE RECEBIMENTO 35 8. REMUNERAÇÃO DOS PRESTADORES DE SERVIÇOS ESSENCIAIS 39 9. COTAS 41 10. RENTABILIDADE EXCEDENTE DO FUNDO 46 11. SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS 47 12. AMORTIZAÇÃO E RESGATE DAS COTAS 50 13. ORDEM DE ALOCAÇÃO DOS RECURSOS 54 14. METODOLOGIA DE AVALIAÇÃO…",1118467_regulamento_regulamento_1118467_2026-02-19.pdf
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,,,evento de cota,,,,1121051_assembleia_assembleia_1121051_2026-02-24.pdf
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,,Cotas Seniores,evento de cota,"R$ 1.000,00","das pela Administradora, conforme orientação da Gestora em alinhamento com o Mercado Pago, nos termos dos respectivos Compromissos de Investimento, Boletins de Subscrição , do Apêndice da Subclasse Sênior e do Regulamento, conforme o caso. Docusign Envelope ID: C734C7B4-F58D-4EB0-92FC-FCC07825E238 2 VII. Meta de Remuneração : A Meta de Remuneração Sênior será correspondente a 100% (cem por cento) da Taxa DI acrescid…","b forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis da Meta de Remuneração. VIII. Remuneração Sênior: A Remuneração Sênior será paga pelo período de 36 (trinta e seis) meses, em cada Data de Pagamento prevista na tabela do item IX abaixo. IX. Período de Carência de Amortização Sênior: Durante os primeiros 18 (dezoito) meses após a 1ª (primeira) integralização de Cota…",1128337_assembleia_assembleia_1128337_2026-03-03.pdf
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,,,evento de cota,,"ASSIFICAÇÃO DO FUNDO 4 2. POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 5 3. FATORES DE RISCO 11 4. PRESTADORES DE SERVIÇOS ESSENCIAIS 25 5. RESPONSABILIDADE DOS PRESTADORES DE SERVIÇO 33 6. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA E DA GESTORA 34 7. CUSTODIANTE, AGENTE DE COBRANÇA E AGENTE DE RECEBIMENTO 35 8. REMUNERAÇÃO DOS PRESTADORES DE SERVIÇOS ESSENCIAIS 39 9. COTAS 41 10. RENTABILIDADE EXCEDENTE DO FUND…","DOS PRESTADORES DE SERVIÇO 33 6. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA E DA GESTORA 34 7. CUSTODIANTE, AGENTE DE COBRANÇA E AGENTE DE RECEBIMENTO 35 8. REMUNERAÇÃO DOS PRESTADORES DE SERVIÇOS ESSENCIAIS 39 9. COTAS 41 10. RENTABILIDADE EXCEDENTE DO FUNDO 46 11. SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS 47 12. AMORTIZAÇÃO E RESGATE DAS COTAS 50 13. ORDEM DE ALOCAÇÃO DOS RECURSOS 54 14. METODOLOGIA DE AVALIAÇÃO…",1128340_regulamento_regulamento_1128340_2026-03-03.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,,evento de cota,,"iço de verificação dos Documentos Comprobatórios do Lastro disposto na cláusula 7.2.2. acima, o s honorários adicionais aos mencionados nas Clausulas 7.2.2. e 7.2.3. e estipulados pelo terceiro contratado pelo Cust odiante serão acrescidos à Taxa de Custódia, incluindo os impostos e atualizaç ões incidentes sobre a sua remuneração em razão de tal contratação. 7.3. Os valores fixos e montantes mínimos da Taxa de Admi…","ra, o Custodiante, a Gestora e os demais prestadores de serviços contratados pelo Fundo, em hipótese alguma, ser responsabilizados por qualquer depreciação ou perda de valor dos Direitos Creditórios e dos Ativos Financeiros integrantes da carteira do Fundo, ou por eventuais prejuízos incorridos pelos Cotistas quando da amortização ou do resgate das Cotas, nos termos deste Regulamento. O investidor, antes de adquirir…",174749_regulamento_regulamento_174749_2021-05-13.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,cotas seniores,evento de cota,,"te quaisquer medidas adotadas os recursos do Fundo poderão ser insuficientes para pagar parte ou a totalidade dos rendimentos aos cotist as. Os cedentes, o custodiante, a gestora, o Fundo e a Administradora não prometem ou asseguram rentabilidade aos cotistas. (ii) Rentabilidade dos ativos financeiros inferior à meta de remuneração das cotas seniores e das cotas subordinadas. A parcela do patrimônio do Fundo não apl…","as parcelas referentes a cada contrato de empréstimo deverão ser cedidas ao Fundo simultaneamente; v) tenham como parte devedores solidários; e vi) considerando pro forma a aquisição dos direitos creditórios, o valor das disponibilidades deverá ser maior ou igual à soma da reserva de encargos e despesas e da reserva da amortização. (b) quando representados por contratos de empréstimos com cedentes bancos: i) contenh…",181768_assembleia_assembleia_181768_2021-06-02.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,,evento de cota,,"iço de verificação dos Documentos Comprobatórios do Lastro disposto na cláusula 7.2.2. acima, o s honorários adicionais aos mencionados nas Clausulas 7.2.2. e 7.2.3. e estipulados pelo terceiro contratado pelo Cust odiante serão acrescidos à Taxa de Custódia, incluindo os impostos e atualizaç ões incidentes sobre a sua remuneração em razão de tal contratação. 7.3. Os valores fixos e montantes mínimos da Taxa de Admi…","ra, o Custodiante, a Gestora e os demais prestadores de serviços contratados pelo Fundo, em hipótese alguma, ser responsabilizados por qualquer depreciação ou perda de valor dos Direitos Creditórios e dos Ativos Financeiros integrantes da carteira do Fundo, ou por eventuais prejuízos incorridos pelos Cotistas quando da amortização ou do resgate das Cotas, nos termos deste Regulamento. O investidor, antes de adquirir…",181770_regulamento_regulamento_181770_2021-06-02.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,cotas subordinadas junior 761,evento de cota,,"quaisquer medidas adotadas os recursos do Fundo poderão ser insuficientes para pagar parte ou a totalidade do s rendimentos aos cotistas. O s cedentes, o cus todiante, a gestora, o Fundo e a administradora não prometem ou asseguram rentabilidade aos cotistas. (ii) Rentabilidade dos ativos financeiros inferior à meta de remuneração das cotas seniores e das cotas subordinadas. A parcela do patrimônio do Fundo não apli…","de 188,0489 cotas - Subordinadas mezanino B 168 - (+) Integralização de 11.250.000,0000 cotas - Seniores A - 11.250 (+) Integralização 1.604,1850 cotas - Subordinadas mezanino B - 1.601 (+) Integralização de 2.400.000,0000 cotas - Subordinadas junior - 2.400 Cotas amortizadas no exercício/período 10.a (969) (212) (-) Amortização de cotas - Seniores A (969) (212) Custos diretamente relacionados a emissão de cotas - (…",311826_assembleia_assembleia_311826_2022-06-03.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,Cotas Seniores e das Cotas,evento de cota,,"“Declaração CVM 849”, “Direitos Creditórios – Produto Gestão”, “Direitos Creditórios – Produto Repasse Mensal”, “Índice de Performance de Garantia”, “Instrução CVM 476”, “Instrução CVM 539”, “Novas Carteiras”, “Programa de Crédito Estudantil PRAVALER”, “Razão de Integralização das Cotas Subordinadas”, “Relação Mínima”, “Remuneração”, “Suplementos”; (x) inclusão da definição de “Arquivo de Oferta de Direitos Creditór…","utorizar o Administrador a adotar as medidas necessárias de modo a refletir as matérias acima, caso aprovadas. 6. DELIBERAÇÕES: A totalidade dos Cotistas Seniores, dos Cotistas Subordinados A e dos Cotistas Subordinados B deliberaram por aprovar, sem quaisquer reservas ou restrições, as seguintes matérias: (i) a amortização da totalidade das Cotas Seniores e das Cotas Subordinadas A e o seu consequente resgate. O pa…",417669_assembleia_assembleia_417669_2023-02-14.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,,evento de cota,,"35 (17) Excesso de Retorno Mínimo da Emissão. (18) Parâmetros abaixo referentes a cada série e/ou classe de Cotas Seniores e Cotas Subordinadas Mezanino, conforme o caso, bem como suas consolidações por séries e/ou classes, referentes à próxima Data de Pagamento: i. Meta de Amortização de Principal; ii. Meta de Remuneração; iii. Meta de PMT; iv. Razão de Subordinação Sênior; e v. Razão de Subordinação Subordinada Me…","Índice de Cobertura Mezanino e 35 (17) Excesso de Retorno Mínimo da Emissão. (18) Parâmetros abaixo referentes a cada série e/ou classe de Cotas Seniores e Cotas Subordinadas Mezanino, conforme o caso, bem como suas consolidações por séries e/ou classes, referentes à próxima Data de Pagamento: i. Meta de Amortização de Principal; ii. Meta de Remuneração; iii. Meta de PMT; iv. Razão de Subordinação Sênior; e v. Razão…",417671_regulamento_regulamento_417671_2023-02-14.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,Cotas Seniores I e Cotas Seniores II,evento de cota,,,,422111_assembleia_assembleia_422111_2023-02-24.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,,evento de cota,,"14 (17) Excesso de Retorno Mínimo da Emissão. (18) Parâmetros abaixo referentes a cada série e/ou classe de Cotas Seniores e Cotas Subordinadas Mezanino, conforme o caso, bem como suas consolidações por séries e/ou classes, referentes à próxima Data de Pagamento: i. Meta de Amortização de Principal; ii. Meta de Remuneração; iii. Meta de PMT; iv. Razão de Subordinação Sênior; e v. Razão de Subordinação Subordinada Me…","Índice de Cobertura Mezanino e 14 (17) Excesso de Retorno Mínimo da Emissão. (18) Parâmetros abaixo referentes a cada série e/ou classe de Cotas Seniores e Cotas Subordinadas Mezanino, conforme o caso, bem como suas consolidações por séries e/ou classes, referentes à próxima Data de Pagamento: i. Meta de Amortização de Principal; ii. Meta de Remuneração; iii. Meta de PMT; iv. Razão de Subordinação Sênior; e v. Razão…",424681_regulamento_regulamento_424681_2023-02-28.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,,evento de cota,,"13 (17) Excesso de Retorno Mínimo da Emissão. (18) Parâmetros abaixo referentes a cada série e/ou classe de Cotas Seniores e Cotas Subordinadas Mezanino, conforme o caso, bem como suas consolidações por séries e/ou classes, referentes à próxima Data de Pagamento: i. Meta de Amortização de Principal; ii. Meta de Remuneração; iii. Meta de PMT; iv. Razão de Subordinação Sênior; e v. Razão de Subordinação Subordinada Me…","Índice de Cobertura Mezanino e 13 (17) Excesso de Retorno Mínimo da Emissão. (18) Parâmetros abaixo referentes a cada série e/ou classe de Cotas Seniores e Cotas Subordinadas Mezanino, conforme o caso, bem como suas consolidações por séries e/ou classes, referentes à próxima Data de Pagamento: i. Meta de Amortização de Principal; ii. Meta de Remuneração; iii. Meta de PMT; iv. Razão de Subordinação Sênior; e v. Razão…",424683_regulamento_regulamento_424683_2023-03-01.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,Cotas Subordinadas Juniores,evento de cota,,,,448016_assembleia_assembleia_448016_2023-04-18.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,,evento de cota,,"(17) Excesso de Retorno Mínimo da Emissão. (18) Parâmetros abaixo referentes a cada série e/ou classe de Cotas Seniores e Cotas Subordinadas Mezanino, conforme o caso, bem como suas consolidações por séries e/ou classes, referentes à próxima Data de Pagamento: i. Meta de Amortização de Principal; ii. Meta de Remuneração; iii. Meta de PMT; iv. Razão de Subordinação Sênior; e v. Razão de Subordinação Subordinada Mezan…","nior e Índice de Cobertura Mezanino e 13 (17) Excesso de Retorno Mínimo da Emissão. (18) Parâmetros abaixo referentes a cada série e/ou classe de Cotas Seniores e Cotas Subordinadas Mezanino, conforme o caso, bem como suas consolidações por séries e/ou classes, referentes à próxima Data de Pagamento: i. Meta de Amortização de Principal; ii. Meta de Remuneração; iii. Meta de PMT; iv. Razão de Subordinação Sênior; e v…",448021_regulamento_regulamento_448021_2023-04-18.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,,evento de cota,,"(17) Excesso de Retorno Mínimo da Emissão. (18) Parâmetros abaixo referentes a cada série e/ou classe de Cotas Seniores e Cotas Subordinadas Mezanino, conforme o caso, bem como suas consolidações por séries e/ou classes, referentes à próxima Data de Pagamento: i. Meta de Amortização de Principal; ii. Meta de Remuneração; iii. Meta de PMT; iv. Razão de Subordinação Sênior; e v. Razão de Subordinação Subordinada Mezan…","Cobertura Mezanino e 10 Corporativo (17) Excesso de Retorno Mínimo da Emissão. (18) Parâmetros abaixo referentes a cada série e/ou classe de Cotas Seniores e Cotas Subordinadas Mezanino, conforme o caso, bem como suas consolidações por séries e/ou classes, referentes à próxima Data de Pagamento: i. Meta de Amortização de Principal; ii. Meta de Remuneração; iii. Meta de PMT; iv. Razão de Subordinação Sênior; e v. Raz…",508204_regulamento_regulamento_508204_2023-07-28.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,,evento de cota,,"(17) Excesso de Retorno Mínimo da Emissão. (18) Parâmetros abaixo referentes a cada série e/ou classe de Cotas Seniores e Cotas Subordinadas Mezanino, conforme o caso, bem como suas consolidações por séries e/ou classes, referentes à próxima Data de Pagamento: i. Meta de Amortização de Principal; ii. Meta de Remuneração; iii. Meta de PMT; iv. Razão de Subordinação Sênior; e v. Razão de Subordinação Subordinada Mezan…","Cobertura Mezanino e 10 Corporativo (17) Excesso de Retorno Mínimo da Emissão. (18) Parâmetros abaixo referentes a cada série e/ou classe de Cotas Seniores e Cotas Subordinadas Mezanino, conforme o caso, bem como suas consolidações por séries e/ou classes, referentes à próxima Data de Pagamento: i. Meta de Amortização de Principal; ii. Meta de Remuneração; iii. Meta de PMT; iv. Razão de Subordinação Sênior; e v. Raz…",518890_regulamento_regulamento_518890_2023-08-17.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,Cotas Seniores,evento de cota,,"As Cotas Seniores III não poderão ser resgatadas até o término de seu Prazo de Duração. Datas de Pagamento: Toda Data de Aniversário, a contar do 1º (primeiro) mês subsequente ao mês da 1ª (primeira) Data de Integralização das Cotas Seniores III (inclusive). Taxa Sênior III: As Cotas Seniores III possuem a meta de remuneração correspondente à Taxa DI acrescida de um spread de 3,95% a.a. ( três inteiros e noventa e c…",": (i) a alteração (a) do Capítulo 17 do Regulamento, mediante a criação do novo item 17.6 (e respectivos subitens), com vistas a prever a criação das Cotas Seniores III, as quais não se subordinam às Cotas Seniores I, às Cotas Seniores II, às Cotas Subordinadas Mezanino e às Cotas Subordinadas Juniores para efeito de amortização, resgate e distribuição dos rendimentos da Carteira, e (b) consequentemente, a atualizaç…",526619_assembleia_assembleia_526619_2023-09-21.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,,evento de cota,,"(17) Excesso de Retorno Mínimo da Emissão. (18) Parâmetros abaixo referentes a cada série e/ou classe de Cotas Seniores e Cotas Subordinadas Mezanino, conforme o caso, bem como suas consolidações por séries e/ou classes, referentes à próxima Data de Pagamento: i. Meta de Amortização de Principal; ii. Meta de Remuneração; iii. Meta de PMT; iv. Razão de Subordinação Sênior; e v. Razão de Subordinação Subordinada Mezan…","Sênior e Índice de Cobertura Mezanino e (17) Excesso de Retorno Mínimo da Emissão. (18) Parâmetros abaixo referentes a cada série e/ou classe de Cotas Seniores e Cotas Subordinadas Mezanino, conforme o caso, bem como suas consolidações por séries e/ou classes, referentes à próxima Data de Pagamento: i. Meta de Amortização de Principal; ii. Meta de Remuneração; iii. Meta de PMT; iv. Razão de Subordinação Sênior; e v.…",526635_regulamento_regulamento_526635_2023-09-21.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,Cotas Seniores,evento de cota,,"As Cotas Seniores III não poderão ser resgatadas até o término de seu Prazo de Duração. Datas de Pagamento: Toda Data de Aniversário, a contar do 1º (primeiro) mês subsequente ao mês da 1ª (primeira) Data de Integralização das Cotas Seniores III (inclusive). Taxa Sênior III: As Cotas Seniores III possuem a meta de remuneração correspondente à Taxa DI acrescida de um spread de 3,95% a.a. ( três inteiros e noventa e c…","(iii) a alteração (a) do Capítulo 17 do Regulamento, mediante a criação do novo item 17.6 (e respectivos subitens), com vistas a prever a criação das Cotas Seniores III, as quais não se subordinam às Cotas Seniores I, às Cotas Seniores II, às Cotas Subordinadas Mezanino e às Co tas Subordinadas Juniores para efeito de amortização, resgate e distribuição dos rendimentos da Carteira, e (b) consequentemente, a atualiza…",530806_assembleia_assembleia_530806_2023-09-29.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,Cotas Seniores III,evento de cota,,,,537806_assembleia_assembleia_537806_2023-10-03.pdf
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,,,evento de cota,,"(17) Excesso de Retorno Mínimo da Emissão. (18) Parâmetros abaixo referentes a cada série e/ou classe de Cotas Seniores e Cotas Subordinadas Mezanino, conforme o caso, bem como suas consolidações por séries e/ou classes, referentes à próxima Data de Pagamento: i. Meta de Amortização de Principal; ii. Meta de Remuneração; iii. Meta de PMT; iv. Razão de Subordinação Sênior; e v. Razão de Subordinação Subordinada Mezan…","Sênior e Índice de Cobertura Mezanino e (17) Excesso de Retorno Mínimo da Emissão. (18) Parâmetros abaixo referentes a cada série e/ou classe de Cotas Seniores e Cotas Subordinadas Mezanino, conforme o caso, bem como suas consolidações por séries e/ou classes, referentes à próxima Data de Pagamento: i. Meta de Amortização de Principal; ii. Meta de Remuneração; iii. Meta de PMT; iv. Razão de Subordinação Sênior; e v.…",537810_regulamento_regulamento_537810_2023-10-03.pdf
